Gene	Brain_Female1	Brain_Male1	Brain_Male2	Cerebellum_Female1	Cerebellum_Male1	Heart_Female1	Heart_Male1	Kidney_Female1	Kidney_Male1	Liver_Female1	Liver_Male1	Ovary_Female1	Ovary_Female2	Testis_Male1	Testis_Male2	Testis_Male3
ENSGALG00000012396	1.14	0.87	0	0	0.44	2.1	1.26	1.26	0.76	0.76	5.8	1.35	5.12	2.03	0.39	0.26
Locus_88315	0.53	0	0.14	0.53	0	0	0	0	0	0	0.45	0.15	0.16	0.56	0.9	2.19
ENSGALG00000014956	3.28	5.5	14.51	4.22	7.52	2.84	3.22	2.34	4.37	5.32	3.99	13.04	7.13	3.9	8.76	20.75
ENSGALG00000008750	13.24	14.6	10.67	11.62	13.44	19.32	25.93	21.69	24.31	28.74	39.94	16.05	25.68	12.89	10.2	8.63
ENSGALG00000001895	55.24	46.93	51.2	43.89	44.24	19.06	28.96	45.83	40.38	76.89	45.09	21.93	17.89	41.78	51.8	58.5
ENSGALG00000005703	1.68	5.61	7.18	1.05	2.61	7.23	6.89	1.24	5.21	3	6.92	2.17	1.72	4.96	3.89	4.45
ENSGALG00000019505	0	0.93	0	0.41	0.32	0	0.45	0.23	0.54	0	0.35	0	0.06	3.64	2.52	0.46
ENSGALG00000006837	24.83	26.88	11.96	119.46	105.71	35.63	41.42	21.58	26.42	21.22	43.59	12.45	41.51	8.81	13.21	5.36
ENSGALG00000014643	15.46	14.53	27.12	15.44	12.41	12.96	8.95	15.28	13.4	11.44	8.84	29.67	10.36	16.86	23.84	37.62
ENSGALG00000005282	14.73	18.12	29.74	46.78	48.4	26.28	13.87	18.9	13.37	15.78	4.7	66.17	51.49	7.81	22.5	38.75
ENSGALG00000005452	11.85	12.58	25.05	8.3	8.15	14.47	14.08	5.22	4.24	16.04	15.16	7.97	5.35	43.87	28.08	64.28
Locus_80054	0	0	0	0	0	0	0	0	0	0.44	0	0	0.1	1.16	2.45	0.88
ENSGALG00000016611	11.54	12.35	13.18	13.57	13.14	31.44	33.38	12.93	13.53	6.98	8.38	23.48	18.27	7.79	9.06	13.08
ENSGALG00000003885	0.7	0.8	0.18	0.41	0.86	0.43	1.93	2.98	0.93	0.78	1.88	0.41	3.28	1.21	0.44	0.07
ENSGALG00000011241	30.49	31.3	37.66	3.68	2.64	3.33	2.39	3.71	4.27	9.61	17.01	8.3	10.92	29.18	28.07	26.03
ENSGALG00000023653	4.04	5.3	3.14	2.95	4.01	3.65	2.7	8.04	4.63	6.18	6.22	6.81	9.62	9.65	6.12	8.25
ENSGALG00000004829	171.71	130.16	103.94	203.01	145.65	9.84	11.48	0.59	1.17	0.06	0	14.88	8.2	8.04	12.03	9.25
ENSGALG00000023657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Locus_5292	0	0	0	0	0	0.28	0	0.17	0.2	0	0	0.34	0	12.07	3.08	1.38
ENSGALG00000003519	0	0	0	0	0	0.31	0	0.09	0	1.71	2.45	0	0.05	1.21	1.16	0.67
CUFF.26771	0.48	0.73	0.75	0.16	0	0	0	0	0	0	0	0.36	0	1.03	0.44	0.68
Locus_19968	0.18	0	0	0	0	0	0.39	0	0	0	0	0	0	6.91	2.05	1.23
ENSGALG00000012236	0.26	0.19	0.57	0.13	0.35	0.24	0.57	0.5	0.26	0.09	0.22	0.39	0.55	13.72	11.86	10
Locus_50281	0.82	1.88	4.09	0	0	0	0	0	0	0	0	0	0	0	0	0.09
CUFF.70762	0.36	0.54	0.65	1.8	1.38	0	0.39	0	0	0.24	0	0	0.11	0.51	1.46	0.52
ENSGALG00000021416	0	0	0	0	0	0	0	0	0	0	0	0	0	0.96	0.41	0.2
ENSGALG00000005060	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0.09	0	0
CUFF.18951	0	0	0	0	0.08	0	0	0	0	0	0	0	0	0.37	0.57	0.54
ENSGALG00000002083	0	0	0	0	0	0	0	0	0	0	0	0	0	5.69	2.45	2.41
ENSGALG00000015108	3.63	7.02	16.44	4.19	6.07	2.04	3.46	1.43	1.59	1.67	2.42	3.25	1.53	4.56	8.29	15.17
ENSGALG00000005753	48.99	62.67	105.21	46.97	46.52	60.97	78.08	56.08	74.93	68.17	87.99	87.72	67.45	208.21	224.72	317.62
ENSGALG00000017291	28.28	26.2	11.09	64.57	51.51	6.28	4.67	1.94	2.32	3.57	3.43	6.14	8.64	0.26	0.5	0.29
ENSGALG00000001865	22.45	40.08	55.89	20.52	36.14	23.95	29.18	18.26	20.35	19.72	26.73	15.32	10.88	17.75	20.22	28.1
ENSGALG00000020741	13.93	11.73	6.92	5.52	6.76	9.77	13.46	20.58	21.4	10.31	26.39	8.51	9.18	58.66	29.85	19.15
ENSGALG00000004517	3.03	3.18	1.39	0.96	3.09	3.85	5.87	23.15	24.98	11.18	36.04	9.99	12.54	8.25	4.93	3.66
ENSGALG00000005512	14.69	17.3	24.04	10.95	14.52	21.23	26.05	16.63	19.24	37.88	48.21	52.97	21.89	20.22	31.64	47.47
blastnGorilla.CUFF.217954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CUFF.12048	0	0	0	0	0	0	0	0	0	0	0	0	0	2.65	2.8	0.46
Locus_28942	0.1	0.31	1.38	0.1	0.08	0	0	2.71	1.9	2.18	1.21	0.42	0.18	0.44	0.84	2.51
ENSGALG00000002527	25.81	22.11	10.46	30.67	21.35	12.83	13.52	9.23	12.07	23.29	21.41	4.56	7.12	11.9	10.76	5.22
ENSGALG00000014837	12.54	9.75	6.75	7.87	11.39	2.55	6.93	6.13	7.68	1.01	0.21	3.02	4.13	1.25	0.77	0.59
ENSGALG00000004888	18.04	11.67	8.46	3.62	7.4	5.19	10.5	6.1	2.26	6.91	15.98	3.41	4.94	6.38	2.81	1.15
ENSGALG00000004594	287.49	434.51	174.32	187.14	303.77	1215.02	1083.13	650.15	874.88	1100.59	1438.18	576.58	1757.97	109.01	84.41	52.11
Locus_102722	0	2.97	1.22	0.79	1.81	0	0	0	0	0	0	0.35	0	0	0.27	0.44
ENSGALG00000003720	1.14	0.78	1.49	0.95	0.66	1.74	0.63	1.17	0.8	0.73	0.73	1.3	1.4	18.15	18.82	24.77
ENSGALG00000005192	0.56	1.56	0.19	0.09	0.72	1.71	2.26	2.88	5.43	1.99	7.56	0.55	8.41	1.12	0.44	0.15
ENSGALG00000015617	333.03	460.66	257.59	146.69	419.56	594.38	1665.63	1407.47	1450.08	526.5	3475.36	208.58	549.42	1640.5	358.75	424.57
Locus_110013	0	0	0	0	0	0	0	0	0	0	0	0	0	0.29	0.74	2.39
CUFF.236513	0	0	0	0	0	0.59	1.42	0	0	0	0	0.04	0.1	0.69	0.22	0.29
ENSGALG00000022605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000016187	12.91	13.9	27.41	13.62	14.08	13.4	8.41	10.81	9.19	15.78	11.42	19.82	11.6	15.52	20.72	40.3
ENSGALG00000006160	26.37	18.56	10.64	12.19	25.76	9.46	31.43	52.63	21.49	19.75	76.99	16.37	36.28	206.9	61.58	37.13
ENSGALG00000011393	13.23	10.87	8.85	10.87	9.34	6.42	9.94	11.34	10.25	5.57	14.49	7.14	4.93	26.1	9.27	11.5
ENSGALG00000004244	7.81	7.29	7.61	5.64	6.92	4.72	4.04	4.37	4.57	4.64	5.34	11.83	9.56	10.46	12.07	12.66
ENSGALG00000000430	5.19	6.06	4.77	5.93	5.39	5.65	6.19	3.52	3.82	13.24	6.99	5.94	4.06	11.87	22.05	18.94
ENSGALG00000015485	7.37	6.84	7.15	13.25	11.52	9.27	11.1	24.75	25.42	21.63	34.22	14.47	14.07	15.84	11.62	14.76
ENSGALG00000023000	0	0	0	0	0	0	0	0	0	0	0	0	0	12.5	8.3	6.57
ENSGALG00000004304	16.24	15.49	20.08	14.62	13.16	18.07	19.38	8.33	11.36	6.98	7.55	19.08	22.01	12.49	13.86	13.43
ENSGALG00000010598	3.98	3.38	3.59	11.1	9.03	0	0	0	0	0.15	0.94	0.35	0.5	4.5	5.23	5.29
ENSGALG00000024182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000010502	6.75	6.39	5.64	2.79	2.79	2.95	3.11	3.26	2.42	1.3	1.01	17.87	11.39	40.04	46.25	45.33
CUFF.68561	0	0	0	0	0	0	0	0	0	0	0	0.05	0.06	1.14	1.44	1.15
Locus_66209	0	0	0	0	0	0	0	0	0	0	0	0.07	0.06	0.14	1.2	8.6
Locus_119186	0	0	0	0	0	0	0	0	0	0	0	1.04	0.58	0	0	0
ENSGALG00000011387	29.74	29.92	38.24	28.23	25.46	51.24	45.11	34.75	51.15	39.4	31.69	41.2	38.85	29.74	33.12	45.38
ENSGALG00000013175	5.71	11.44	8.21	1.45	5.27	2.64	4.74	6.35	2.85	4.79	3.03	5.93	13.79	3.57	17.12	9.22
ENSGALG00000007015	2.91	5.45	1.59	2.82	3.7	14.43	20.19	18.82	19.92	13.49	46.3	8.95	13.67	10.67	3.63	3.09
ENSGALG00000017004	4.63	7.64	11.61	3.64	4.48	2.27	3.14	4.73	1.76	5.33	2.57	9.14	6.17	29.87	35.75	96.07
Locus_50448	0	0	0	0	0.17	0	0	0	0	0.29	0	0.05	0.06	1.23	1.33	1.36
ENSGALG00000016843	18.95	14.82	20.23	52.07	60.54	105	101.54	78.5	74.66	12.35	16.41	12.63	15.6	5.59	5.24	4.61
ENSGALG00000008291	36.6	35.72	21.31	24.18	37.01	38.59	75.17	57.84	39.01	21.59	90.9	26.55	44.38	26.18	9.35	7.76
Locus_118116	0	0	0.11	0	0	0	0	0.23	0	0	0	0.47	0.19	0.45	1.87	3.25
Locus_99171	0.14	0.64	0.22	5.93	6.6	0	0.62	0	0	0	0	0.03	0.13	0	0.1	0.03
ENSGALG00000001664	24.4	29.58	7.95	3.73	11.56	7.72	31.79	11.7	13.14	10.99	56.79	3.02	9.06	110.79	20.85	10.1
ENSGALG00000002318	0.04	0.27	0.23	0.22	0.24	0.16	0.19	0.29	0.47	0.12	0	42.16	126.62	0.41	1.27	1.56
ENSGALG00000002155	7.58	5.98	17.47	2.34	2.5	4.63	4.83	8	8.48	20.52	40.4	7.32	2.7	4.04	3.08	8.03
ENSGALG00000008058	56.79	50.36	100.52	39.34	37.52	13.9	16.1	7.55	4.2	10.96	5.08	23.02	11.03	7.56	19.12	22.63
ENSGALG00000001233	1.92	2.04	2.83	0.51	1.36	3.7	5.35	2.5	2.67	3.36	2.69	1.85	2.05	2.5	7.43	4.1
ENSGALG00000001006	0.48	0.62	0.42	0.49	0.46	0.41	0.41	0.7	0.54	1.04	0.69	6.4	4.54	7.34	4.07	3.69
blastnMouse.Locus_3279	0	0	0	0	0	0	0	2.6	1.56	0	0	0.66	0	0.83	5.61	3.68
ENSGALG00000014226	5.01	5.58	7.33	4.96	4.52	2.42	2.13	6.51	8.52	21.76	14.59	11.2	6.8	31.12	38.65	28.26
ENSGALG00000009332	19.11	20.21	107.48	25.95	23.48	23.52	12.07	57.67	16.95	32.8	14.32	122.97	27.25	11.74	52.04	130.27
ENSGALG00000001848	26.21	22.97	17.56	26.46	21.64	35.96	41.67	31.17	43.37	46.44	67.49	28.59	33.1	70.5	54.87	29.35
ENSGALG00000012921	4.07	3.39	3.1	6	5.8	7.43	8.89	15.34	14.73	10.93	11.78	20.65	20.46	6	8.92	5.44
ENSGALG00000012222	105.17	106.14	150.24	121.97	98.21	18.29	16.64	39.97	45.78	40.86	42.54	28.82	31.31	14.6	14.34	10.18
ENSGALG00000001737	50.48	46.43	212.94	35.57	37	38.7	26.31	32.18	20.53	41.07	17.41	145.22	26.35	20	61.37	217.88
ENSGALG00000002988	109.91	82.95	31.23	27.37	43.35	1.4	4.45	677.27	522.92	1348.42	5119.49	0.45	0.55	12.87	3.45	0.9
ENSGALG00000016049	10.04	10.52	17.93	5.35	5.62	6.6	6.96	8.13	7.03	11.65	6.5	17.48	10.2	12.32	13.29	29.74
ENSGALG00000002522	0.06	0.18	0.15	2.5	7.31	12.72	44.63	11.05	12.85	7.02	25.38	0.03	0.11	0.63	0.28	0.36
ENSGALG00000004165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000000166	14.83	9.99	2.51	12.04	14.01	45.42	48.75	32.2	34.87	32.98	89.17	4.78	31.73	12.29	2.38	0.6
ENSGALG00000008043	142.42	126.18	50.26	109.51	121.75	4.59	2.75	0.92	0.73	1.48	4.1	2.86	4.65	1.82	1.47	0.19
ENSGALG00000022384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Locus_104893	0.21	0.22	0	0.43	0.28	0.4	0.32	0.32	0.1	1.05	0.36	0.04	0.02	7.14	5.53	1.81
Locus_109982	0	0	0	0	0.24	0	0	0	0	0	0	0	0	0	0.21	1.47
ENSGALG00000013754	14.7	15.46	8.31	11.17	10.42	22.03	38.45	10.49	15.08	38.65	28.01	10.83	17.29	8.93	6.4	4.31
ENSGALG00000009123	6.91	4.92	4.43	0.47	1.43	0.17	0	0.2	0.25	0.25	0.16	1.02	0.52	6.25	2.46	2.38
CUFF.143704	0	0	0	0	0	0	0	0	0	0	0	0.03	0	0.35	0.17	0.38
Locus_117237	1.05	1.17	2.8	1.27	1.1	0.45	0.09	0.13	0.38	0.16	0.07	0.65	0.5	0.17	0.41	0.72
ENSGALG00000010827	30.49	31.07	30.22	33.9	41.24	6.02	5.21	6.49	8.02	8.18	8.23	22.02	15.71	11.8	15.84	12.05
ENSGALG00000021232	0.3	0.64	0.16	0.6	0.6	0.66	0.26	0	0.08	0.16	0.2	0.03	0.05	0.13	0.24	0.2
ENSGALG00000012953	16.47	14.07	20.99	14.85	12.47	9.63	10.2	12.42	9.54	13.09	9.3	11.9	5.01	47.38	60.47	66.97
ENSGALG00000010241	13.23	16.46	12.01	12.08	19.54	6.11	3.66	16.05	10.08	5.72	8.28	27.69	28.1	20.24	15.8	7.88
Locus_20501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5	0.99
Locus_102269	0	0	0	0	0	0	0	0	0	0	0	0	0	0.61	0	0.38
ENSGALG00000024240	0.41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000014303	30.15	21.39	15.33	20.05	22.85	11.85	18.44	50.5	30.63	18.81	71.76	21.13	16.63	54.46	21.91	14.53
Locus_73583	0.79	1.09	0.29	1.13	0.68	2.06	0.53	1.24	1.38	1.07	1.21	1.08	0.19	0.51	0.22	0.3
ENSGALG00000015295	0.06	0	0.11	0.06	0.03	0.23	0.05	0	0.06	0	0	5.44	2.14	0.03	0	0.04
ENSGALG00000015653	31.77	26.17	36.82	12.12	9.8	22	34.28	1.44	1.18	24.36	38.44	5.33	4.36	30.57	29.8	27.19
CUFF.37501	0	0	0	0	0	0	0	0.32	0	0.78	0	0.03	0	0.41	0	0.45
ENSGALG00000012550	17.05	20.39	3.47	13.96	21.98	4.09	6.71	43	38.12	461.42	900.94	12.94	60.7	1.99	2.3	0.83
ENSGALG00000004001	77.54	64.87	120.79	72.12	58.28	69.03	72.03	99.66	68.72	168.52	156.55	110.75	30.89	33.08	49.73	61.71
Locus_49657	0.14	0	0	0	0	0	0.16	0	0	0	0	0.02	0.11	1.75	2.38	1.75
blastnMouse.CUFF.110475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000009932	2.85	2.79	3.65	2.52	2.4	2.08	2.21	5.56	6.72	1.4	0.98	9.6	9.02	2.11	3.25	3.15
ENSGALG00000011574	17.68	21.34	11.27	16.97	16.02	16.14	15.8	7.64	9.99	7.89	7.9	5.59	10.02	6.77	4.18	4.15
ENSGALG00000018565	52.88	106.03	64.12	48.15	82.27	23.1	30.38	32.35	72.63	39.07	38.26	16.51	40.32	19.31	42.45	16.75
ENSGALG00000011990	4.98	7.26	22.39	5.27	6.2	9.6	7.99	4.92	5.39	3.89	1.67	25.03	5.36	4.68	8.85	29.59
ENSGALG00000003894	3.43	1.93	0.66	336.94	337.81	0	0.4	6.35	3.85	0	0	0.1	1.08	19.37	16.46	10.35
ENSGALG00000007806	0.49	0.31	1.14	0.44	0.36	0.16	0.06	0	0	0	0	0.13	0.19	3.36	3.46	5.56
ENSGALG00000005770	10.11	8.79	7.43	11.15	10	8.29	8.24	9.85	7.35	9.35	8.61	8.37	8.13	8.42	6.9	5.15
ENSGALG00000004554	70.2	86.32	153.48	86.41	88.07	160.33	86.67	74.97	64.2	111.34	74.75	82.22	71.75	26.02	80.27	102.9
ENSGALG00000004660	3.03	4.13	5.61	4.04	5.36	1.37	0.59	1.12	0.85	0.36	0.54	1.97	2.28	2.35	4.84	9.51
ENSGALG00000002646	54.57	48.91	44.12	75.42	62.7	0.26	0.62	0.23	0.84	0.28	0.12	3.15	2.46	33.32	54.83	40.27
ENSGALG00000019142	153.87	107.96	145.91	57.47	78.1	83.03	137.88	86.73	35.91	61.03	74.41	46.94	44.08	164.29	114.3	151.14
Locus_99536	0	0	0	0	0	0	0	0	0	0	0	0	0	0.82	5.52	2.46
ENSGALG00000008544	21.47	22.95	34.09	8.16	7.52	106.19	185.66	9.47	17.52	0.57	0.58	2.19	1.37	0.98	1.15	1.2
CUFF.187615	0	0	0	0	0	0	0	0	0	0	0	0	0	0.89	1.28	0.47
ENSGALG00000023231	0.29	0	0	0	0.46	0	0	0.65	0	2.77	3.5	0.07	0	1.26	0.4	0
ENSGALG00000016631	8.96	11.71	4.76	5.83	5.36	3.66	4.44	4.73	6.07	4.3	6.62	2.06	5.96	32.38	30.05	9.49
ENSGALG00000010486	14.18	12.84	17.42	10.26	13.2	0	0	1.72	0.72	0	0.12	0.22	0.08	0.52	0.66	0.22
blastnHuman.ENSG00000253205	0	0	0	0	0	0	0	0	0	0	0	0	0	0.63	0.6	0.59
Locus_97703	0	0	0.12	0	0	0.44	0	0.26	0	0	0	0.13	0.07	0.34	1.47	0.8
ENSGALG00000006680	4.82	4.84	4.21	2.48	2.64	6.92	12.28	185.3	269.73	154.81	340.16	2.96	2.33	8.51	7.43	7.55
Locus_66061	0	0	0	0	0	0	0	0	0	0	0	3.86	0	0	0	1.02
ENSGALG00000022497	12.21	12.54	32.62	12.15	12.08	30.37	19.16	65.63	29.28	35.16	26.78	56.28	8.45	70.19	87.8	118.33
CUFF.139693	0	0	0	0	0	0	0	0.11	0	0	0	0	0	1.82	0.56	1.08
ENSGALG00000015579	1.84	9.81	13.21	3.72	6.43	1.7	2.03	3.57	2.45	69.05	103.81	2.96	5.09	18.36	21.1	28.18
ENSGALG00000010716	4.7	4.21	4.63	3.31	2.47	6.04	9.9	15.34	14.33	15.2	19.09	15.36	15.31	12.98	12.81	7.96
ENSGALG00000024485	4.2	4.63	5.18	2.01	4.89	3.45	5.68	7.39	6.22	23.01	31.91	4.9	8.95	10.57	8.08	5.45
ENSGALG00000013922	6.64	15.89	1.42	1.22	8.8	0.84	1	1.01	3.62	254.41	40.78	1.07	32.33	12.93	1.03	0.27
ENSGALG00000023225	1.23	0.94	0.32	0.31	1.67	2.84	8.16	17.08	6.96	7.01	22.46	1.01	8.2	45.63	27.18	6.63
ENSGALG00000003414	88.22	72.01	22.88	45.76	45.17	108.75	176.47	105.66	101.59	66.47	220.62	15.47	46.7	48.67	11.51	5.41
ENSGALG00000010892	5.29	6.02	6.08	9.02	10.49	42.53	23.38	36.72	29.08	69.77	45.37	22.55	39.95	4.7	7.02	8.37
CUFF.139810	0.26	0	0	0	0	0	0	0.29	0	0	0	0.03	0	0	0.88	0.12
Locus_46224	0	0	0	0	0	0	0	0	0	0	0	0	0	9.29	2.28	1.06
Locus_127620	0	0	0.23	0.45	0.17	0	0	0	0	0	0	0.12	0	0.79	0.91	1.24
ENSGALG00000006034	43.96	42.37	34.21	26.43	21.46	12.25	11.26	5.34	6.08	2.51	1.55	5.61	5.93	8.12	7.31	8.58
Locus_117772	0	0	0	0	0.42	0	0	0	0	0	0	0.06	0	1.72	3.13	1.21
ENSGALG00000001334	241.23	259.17	232.52	179.47	154.9	94.22	67.07	88.32	100.12	88.89	64.75	75.16	127.79	43.92	61.6	50.51
ENSGALG00000024381	0	0	0	0	0.15	0	0.88	0	0	0	0	0.04	0	5.4	2.45	1.65
ENSGALG00000004394	18.33	9.13	3.61	11.38	10.16	0.68	0.2	1.74	1.23	1.73	1.88	0.84	1.3	7.89	6.31	1.51
ENSGALG00000005791	77.12	54.17	45.35	42.08	47.23	4.64	5.37	1.02	0.33	0.45	0.71	1.75	2.08	0.54	0.57	0.34
ENSGALG00000016807	7.55	10.09	6.04	10.25	11.31	22.8	24.53	3.72	7.36	6.53	4.5	4.3	9.12	1.78	3.57	2.82
blastnOpossum.Locus_421117	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000012303	0.31	0	0	8.36	8.68	1.57	0.85	0	0.21	0	0	0.01	0	0.55	0.53	0.33
ENSGALG00000005733	0.16	0.49	0.08	0.65	0.25	0.59	0	0.35	0.42	1.92	1.08	0.16	0.19	1.14	0.33	0.39
ENSGALG00000000639	84.12	71.08	28.84	16.46	17.85	0.11	0.64	8.96	2.7	0	0.89	0.01	0.03	1.45	0.56	0.4
ENSGALG00000005049	3.14	2.81	2.25	1.52	2.28	21.44	29.28	9.93	7.27	8.79	22.83	3.85	5.74	2.19	0.65	0.71
Locus_65751	0	0	0	0	0	0	0	0	0	0	0	0	0	8.04	4.1	1.98
ENSGALG00000002797	45.14	45.15	52.31	41.24	36.45	48.94	45.2	86.88	93.5	43.52	51.47	52.38	53.66	37.22	41.53	43.86
ENSGALG00000000766	111.81	94.31	1319.71	91.19	69.92	78.96	80.43	101	33.9	93.92	44.78	827.95	56.37	25.94	109.01	1151.16
Locus_21872	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.57	1.02
CUFF.236466	0	0	0	0	0	0	0.96	0	0.58	0	0	0.25	0	0	0.6	0.1
ENSGALG00000017604	0	0	0	0.31	0.24	0	0	0	0.41	0	0	0	0	0	0	0.07
ENSGALG00000005087	0.05	0.08	0.08	0.11	0.04	0.2	0	10.04	6.78	0.51	1.65	2.77	2.77	1.04	0.56	0.4
ENSGALG00000022533	0	0	0	0	0	0.24	0	0	0	0	0	0.15	0.04	0	0	0.03
ENSGALG00000006358	17.34	17.01	9.34	12.19	12.37	4.25	6.65	1.77	3.06	187.11	100.11	2.66	2.39	4.42	4	2.11
ENSGALG00000016931	0.56	0.49	0.7	0.74	0.34	0.97	0.27	0.18	0.27	0.22	0.07	0.75	0.71	12.04	14.13	18.83
Locus_18993	0	0.15	0	0	0	0	0	0	0	0	0	0	0	1.05	1.54	2.81
ENSGALG00000023217	0	1.24	0	0	0	0.75	0	4.05	1.08	1.09	8.26	0.46	1.09	0.29	0.56	0.18
ENSGALG00000014729	0.04	0.36	0.41	0	0.09	0.14	0.09	0.04	0.31	0.1	0.13	0.94	0.51	3.51	5.64	8.46
Locus_7098	0.36	0.55	0	0	0.56	0	0.8	1.2	1.44	5.31	22.63	0.45	1.4	0.77	0.25	0.32
ENSGALG00000015305	9.17	13.99	6.63	1.08	0.83	0.28	0.34	0	0	0	0.52	0.16	0.09	1.09	1.36	0.89
ENSGALG00000000362	51.48	33.5	15.23	9.9	10.5	10	13.91	3.34	3.17	1.33	3.42	1.71	2.98	8.69	3.03	1.99
Locus_63587	1.6	3.43	2.01	0	0.25	0	0	0	0	0	0	5.8	4.71	9.38	18.02	17.58
ENSGALG00000016919	1.72	1.79	1.32	0.23	0.88	0.33	0.2	0.25	0.6	3.03	5.69	0.21	0.89	1.23	1.36	1.37
ENSGALG00000007539	0.21	0.32	0.76	0.84	1.62	0.77	0.46	5.32	4.44	1.4	1.41	1.88	2.43	1.34	1.14	0.98
ENSGALG00000003490	4.06	5.54	2.98	2.72	4.64	2.4	2.49	1.35	2.19	1.86	2.5	1.81	2.88	5.49	2.37	0.85
CUFF.95779	0	0	0	0	0	0	0	0	0	0	0	0.09	0	1.09	0.26	0.52
Locus_118796	0	0	0.34	0	0	0	0	0	0	2.17	2.75	0	0	0	0	0
CUFF.128078	0.57	0	0.3	0.29	0.22	0.53	3.18	0.32	0	1.16	0.98	0.13	0.26	1.43	0.2	0.19
ENSGALG00000022447	50.24	41.04	3.98	26.74	39.03	36.58	60.61	176.48	64.89	62.64	122.41	5.62	78.14	115.5	99.45	2.96
blastnPlatypus.Locus_41980	0	1.79	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSGALG00000005958	4.9	1.45	1.85	4.84	1.12	1.45	0.36	1.6	0.66	1.16	0.28	2.01	0.95	4.94	5.54	2.77
CUFF.72857	0	0.22	0.07	0	0	0	0	0	0	0	0	0	0	0.71	0.39	0.32
