Ensembl Gene ID	Associated Gene Name
ENSG00000126583	PRKCG
ENSG00000126733	DACH2
ENSG00000126861	OMG
ENSG00000127561	SYNGR3
ENSG00000127585	FBXL16
ENSG00000128594	LRRC4
ENSG00000128656	CHN1
ENSG00000129159	KCNC1
ENSG00000129244	ATP1B2
ENSG00000129990	SYT5
ENSG00000130032	PRRG3
ENSG00000130558	OLFM1
ENSG00000131095	GFAP
ENSG00000131711	MAP1B
ENSG00000132718	SYT11
ENSG00000132932	ATP8A2
ENSG00000132970	WASF3
ENSG00000133169	BEX1
ENSG00000134780	DAGLA
ENSG00000135116	HRK
ENSG00000135119	RNFT2
ENSG00000135454	B4GALNT1
ENSG00000135472	FAIM2
ENSG00000135709	KIAA0513
ENSG00000136750	GAD2
ENSG00000136854	STXBP1
ENSG00000136928	GABBR2
ENSG00000137825	ITPKA
ENSG00000137941	TTLL7
ENSG00000138028	CGREF1
ENSG00000138311	ZNF365
ENSG00000138944	KIAA1644
ENSG00000139364	TMEM132B
ENSG00000139767	SRRM4
ENSG00000139973	SYT16
ENSG00000140538	NTRK3
ENSG00000141314	RHBDL3
ENSG00000141576	RNF157
ENSG00000141622	RNF165
ENSG00000141750	STAC2
ENSG00000142408	CACNG8
ENSG00000143590	EFNA3
ENSG00000143603	KCNN3
ENSG00000143858	SYT2
ENSG00000144119	C1QL2
ENSG00000144847	IGSF11
ENSG00000145242	EPHA5
ENSG00000145335	SNCA
ENSG00000145428	RNF175
ENSG00000145451	GLRA3
ENSG00000145721	LIX1
ENSG00000145794	MEGF10
ENSG00000145832	SLC25A48
ENSG00000145920	CPLX2
ENSG00000146005	PSD2
ENSG00000146216	TTBK1
ENSG00000146352	CLVS2
ENSG00000147481	SNTG1
ENSG00000147588	PMP2
ENSG00000148053	NTRK2
ENSG00000148082	SHC3
ENSG00000148482	SLC39A12
ENSG00000149575	SCN2B
ENSG00000149654	CDH22
ENSG00000149927	DOC2A
ENSG00000149970	CNKSR2
ENSG00000150394	CDH8
ENSG00000150656	CNDP1
ENSG00000150672	DLG2
ENSG00000151079	KCNA6
ENSG00000151322	NPAS3
ENSG00000151640	DPYSL4
ENSG00000151778	SERP2
ENSG00000151834	GABRA2
ENSG00000151952	TMEM132D
ENSG00000151967	SCHIP1
ENSG00000152214	RIT2
ENSG00000152377	SPOCK1
ENSG00000152578	GRIA4
ENSG00000152954	NRSN1
ENSG00000152969	JAKMIP1
ENSG00000153707	PTPRD
ENSG00000154146	NRGN
ENSG00000154478	GPR26
ENSG00000154493	C10orf90
ENSG00000154654	NCAM2
ENSG00000154975	CA10
ENSG00000155816	FMN2
ENSG00000155886	SLC24A2
ENSG00000156011	PSD3
ENSG00000156097	GPR61
ENSG00000156103	MMP16
ENSG00000156486	KCNS2
ENSG00000156564	LRFN2
ENSG00000156959	LHFPL4
ENSG00000157064	NMNAT2
ENSG00000157087	ATP2B2
ENSG00000157103	SLC6A1
ENSG00000157470	FAM81A
ENSG00000157542	KCNJ6
ENSG00000157782	CABP1
ENSG00000158008	EXTL1
ENSG00000158445	KCNB1
ENSG00000160716	CHRNB2
ENSG00000161082	CELF5
ENSG00000161681	SHANK1
ENSG00000161682	FAM171A2
ENSG00000162670	BRINP3
ENSG00000162706	CADM3
ENSG00000162728	KCNJ9
ENSG00000162944	RFTN2
ENSG00000162975	KCNF1
ENSG00000162989	KCNJ3
ENSG00000163013	FBXO41
ENSG00000163032	VSNL1
ENSG00000163285	GABRG1
ENSG00000163288	GABRB1
ENSG00000163485	ADORA1
ENSG00000163630	SYNPR
ENSG00000163873	GRIK3
ENSG00000163888	CAMK2N2
ENSG00000164061	BSN
ENSG00000164082	GRM2
ENSG00000164089	ETNPPL
ENSG00000164188	RANBP3L
ENSG00000164199	GPR98
ENSG00000164398	ACSL6
ENSG00000164418	GRIK2
ENSG00000164588	HCN1
ENSG00000164742	ADCY1
ENSG00000164794	KCNV1
ENSG00000164929	BAALC
ENSG00000165186	PTCHD1
ENSG00000165194	PCDH19
ENSG00000165478	HEPACAM
ENSG00000165548	TMEM63C
ENSG00000165566	AMER2
ENSG00000165643	SOHLH1
ENSG00000165973	NELL1
ENSG00000166006	KCNC2
ENSG00000166111	SVOP
ENSG00000166159	LRTM2
ENSG00000166793	YPEL4
ENSG00000166897	ELFN2
ENSG00000166922	SCG5
ENSG00000167178	ISLR2
ENSG00000167191	GPRC5B
ENSG00000167371	PRRT2
ENSG00000167619	TMEM145
ENSG00000167654	ATCAY
ENSG00000167680	SEMA6B
ENSG00000167889	MGAT5B
ENSG00000167971	CASKIN1
ENSG00000168135	KCNJ4
ENSG00000168243	GNG4
ENSG00000168843	FSTL5
ENSG00000168959	GRM5
ENSG00000169181	GSG1L
ENSG00000169427	KCNK9
ENSG00000169760	NLGN1
ENSG00000169783	LINGO1
ENSG00000169933	FRMPD4
ENSG00000170075	GPR37L1
ENSG00000170579	DLGAP1
ENSG00000170743	SYT9
ENSG00000171094	ALK
ENSG00000171246	NPTX1
ENSG00000171368	TPPP
ENSG00000171435	KSR2
ENSG00000171450	CDK5R2
ENSG00000171533	MAP6
ENSG00000171798	KNDC1
ENSG00000171877	FRMD5
ENSG00000171885	AQP4
ENSG00000172020	GAP43
ENSG00000172318	B3GALT1
ENSG00000172379	ARNT2
ENSG00000172458	IL17D
ENSG00000172461	FUT9
ENSG00000172568	FNDC9
ENSG00000172733	PURG
ENSG00000172803	SNX32
ENSG00000172995	ARPP21
ENSG00000174145	NWD2
ENSG00000174453	VWC2L
ENSG00000174473	GALNTL6
ENSG00000174521	TTC9B
ENSG00000174721	FGFBP3
ENSG00000174938	SEZ6L2
ENSG00000175766	EIF4E1B
ENSG00000175874	CREG2
ENSG00000176165	FOXG1
ENSG00000176204	LRRTM4
ENSG00000176381	PRR18
ENSG00000176406	RIMS2
ENSG00000176490	DIRAS1
ENSG00000176749	CDK5R1
ENSG00000176884	GRIN1
ENSG00000177181	RIMKLA
ENSG00000177301	KCNA2
ENSG00000177432	NAP1L5
ENSG00000177453	NIM1K
ENSG00000177807	KCNJ10
ENSG00000177875	CCDC184
ENSG00000178171	AMER3
ENSG00000178235	SLITRK1
ENSG00000178662	CSRNP3
ENSG00000178965	ERICH3
ENSG00000179542	SLITRK4
ENSG00000179774	ATOH7
ENSG00000179796	LRRC3B
ENSG00000179841	AKAP5
ENSG00000180332	KCTD4
ENSG00000180440	SERTM1
ENSG00000180537	RNF182
ENSG00000180998	GPR137C
ENSG00000181656	GPR88
ENSG00000181790	BAI1
ENSG00000182013	PNMAL1
ENSG00000182103	FAM181B
ENSG00000182132	KCNIP1
ENSG00000182218	HHIPL1
ENSG00000182450	KCNK4
ENSG00000182600	C2orf82
ENSG00000182621	PLCB1
ENSG00000182667	NTM
ENSG00000182698	RESP18
ENSG00000182732	RGS6
ENSG00000182870	GALNT9
ENSG00000182901	RGS7
ENSG00000183090	FREM3
ENSG00000183092	BEGAIN
ENSG00000183166	CALN1
ENSG00000183307	CECR6
ENSG00000183454	GRIN2A
ENSG00000183662	FAM19A1
ENSG00000183715	OPCML
ENSG00000183775	KCTD16
ENSG00000183780	SLC35F3
ENSG00000183783	KCTD8
ENSG00000183837	PNMA3
ENSG00000183908	LRRC55
ENSG00000183960	KCNH8
ENSG00000184144	CNTN2
ENSG00000184156	KCNQ3
ENSG00000184194	GPR173
ENSG00000184226	PCDH9
ENSG00000184261	KCNK12
ENSG00000184486	POU3F2
ENSG00000184515	BEX5
ENSG00000184524	CEND1
ENSG00000184613	NELL2
ENSG00000185008	ROBO2
ENSG00000185046	ANKS1B
ENSG00000185274	WBSCR17
ENSG00000185565	LSAMP
ENSG00000185736	ADARB2
ENSG00000185737	NRG3
ENSG00000185760	KCNQ5
ENSG00000185774	KCNIP4
ENSG00000186047	DLEU7
ENSG00000186907	RTN4RL2
ENSG00000187094	CCK
ENSG00000187135	VSTM2B
ENSG00000187391	MAGI2
ENSG00000187398	LUZP2
ENSG00000187416	LHFPL3
ENSG00000188322	SBK1
ENSG00000188385	JAKMIP3
ENSG00000188580	NKAIN2
ENSG00000188674	C2orf80
ENSG00000188729	OSTN
ENSG00000188803	SHISA6
ENSG00000189181	OR14I1
ENSG00000189367	KIAA0408
ENSG00000189410	SH2D5
ENSG00000196090	PTPRT
ENSG00000196132	MYT1
ENSG00000196220	SRGAP3
ENSG00000196277	GRM7
ENSG00000196353	CPNE4
ENSG00000196358	NTNG2
ENSG00000196361	ELAVL3
ENSG00000196368	NUDT11
ENSG00000196376	SLC35F1
ENSG00000196581	AJAP1
ENSG00000196876	SCN8A
ENSG00000196990	FAM163B
ENSG00000197106	SLC6A17
ENSG00000197177	GPR123
ENSG00000197457	STMN3
ENSG00000197753	LHFPL5
ENSG00000197860	SGTB
ENSG00000197959	DNM3
ENSG00000197977	ELOVL2
ENSG00000198010	DLGAP2
ENSG00000198208	RPS6KL1
ENSG00000198576	ARC
ENSG00000198598	MMP17
ENSG00000198673	FAM19A2
ENSG00000198780	FAM169A
ENSG00000198883	PNMA5
ENSG00000198963	RORB
ENSG00000203685	C1orf95
ENSG00000203772	SPRN
ENSG00000204347	BTBD17
ENSG00000204442	FAM155A
ENSG00000204624	PTCHD2
ENSG00000204851	PNMAL2
ENSG00000204869	IGFL4
ENSG00000206579	XKR4
ENSG00000213023	SYT3
ENSG00000215218	UBE2QL1
ENSG00000221890	NPTXR
ENSG00000237515	SHISA9
ENSG00000240694	PNMA2
ENSG00000241360	PDXP
ENSG00000241697	TMEFF1
ENSG00000243444	PALM2
ENSG00000256463	SALL3
ENSG00000258947	TUBB3
ENSG00000258986	TMEM179
ENSG00000260230	FRRS1L
ENSG00000260903	XKR7
ENSG00000273079	GRIN2B
