Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence summary	HPA evidence	UniProt evidence	MS evidence	Antibody	Reliability (IH)	Reliability (IF)	Subcellular location	RNA tissue category	RNA TS	RNA TS FPKM	FPKM max in non-specific
GABRA1	EJM5	ENSG00000022355	Gamma-aminobutyric acid (GABA) A receptor, alpha 1	5	161274197-161326975	Disease related genes, FDA approved drug targets, Predicted membrane proteins, Predicted secreted proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB022502, HPA055746	Supportive			Tissue enriched	36	cerebral cortex: 68.0	adrenal gland: 1.9
AMER2	FAM123A, FLJ25477	ENSG00000165566	APC membrane recruitment protein 2	13	25735822-25746426	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA039458	Supportive			Tissue enriched	35	cerebral cortex: 40.8	fallopian tube: 1.2
CAMKV	MGC8407, VACAMKL	ENSG00000164076	CaM kinase-like vesicle-associated	3	49895421-49907655	Enzymes, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA007656, CAB034931	Supportive	Uncertain	Nucleus but not nucleoli, Cytoskeleton (Cytokinetic bridge)	Tissue enriched	35	cerebral cortex: 59.3	testis: 1.7
SEZ6		ENSG00000063015	Seizure related 6 homolog (mouse)	17	27281919-27333458	Predicted membrane proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA007703, HPA011777	Uncertain			Tissue enriched	35	cerebral cortex: 33.6	adrenal gland: 1.0
SYNPR	MGC26651, SPO	ENSG00000163630	Synaptoporin	3	63213991-63602597	Predicted membrane proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA051368, HPA061671	Supportive			Group enriched	35	cerebral cortex: 54.6;heart muscle: 12.0	duodenum: 0.9
PLP1	GPM6C, PLP, SPG2	ENSG00000123560	Proteolipid protein 1	X	103028647-103047548	Cancer-related genes, Disease related genes, Potential drug targets, Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014), Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA004128	Supportive			Tissue enriched	33	cerebral cortex: 1295.4	testis: 38.8
DLL3	SCDO1	ENSG00000090932	Delta-like 3 (Drosophila)	19	39989535-39999121	Disease related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA056533	Uncertain			Tissue enriched	32	cerebral cortex: 20.5	testis: 0.6
HEPN1		ENSG00000221932	Hepatocellular carcinoma, down-regulated 1	11	124789146-124790573		Evidence at transcript level	Evidence at transcript level	No evidence		HPA063054	Uncertain			Group enriched	32	adipose tissue: 11.1;cerebral cortex: 47.5;liver: 14.2	tonsil: 0.8
PCDHGC5	PCDH-GAMMA-C5	ENSG00000240764	Protocadherin gamma subfamily C, 5	5	140868808-140892546	Predicted membrane proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA008755	Uncertain			Tissue enriched	32	cerebral cortex: 29.3	smooth muscle: 0.9
ERMN	ERMIN, JN, KIAA1189	ENSG00000136541	Ermin, ERM-like protein	2	158175137-158184225	Cytoskeleton related proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA038295, HPA038296	Supportive	Uncertain	Nucleus	Tissue enriched	30	cerebral cortex: 128.3	bone marrow: 4.2
SLC32A1	bA122O1.1, VGAT, VIAAT	ENSG00000101438	Solute carrier family 32 (GABA vesicular transporter), member 1	20	37353105-37358015	Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014), Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB037156, HPA058859, HPA059985	Supportive			Tissue enriched	30	cerebral cortex: 8.0	testis: 0.3
TBR1		ENSG00000136535	T-box, brain, 1	2	162272605-162282381	Protein evidence (Kim et al 2014), Transcription factors	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	CAB012279	Uncertain			Tissue enriched	30	cerebral cortex: 17.3	testis: 0.6
CORT	MGC32686	ENSG00000241563	Cortistatin	1	10509776-10511959	Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level						Tissue enriched	28	cerebral cortex: 13.7	placenta: 0.5
GRIN2B	GluN2B, NMDAR2B	ENSG00000273079	Glutamate receptor, ionotropic, N-methyl D-aspartate 2B	12	13693165-14133053	Disease related genes, FDA approved drug targets, Predicted membrane proteins, Protein evidence (Kim et al 2014), RAS pathway related proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level					Tissue enriched	28	cerebral cortex: 7.5	testis: 0.3
NR2E1	TLL, TLX, XTLL	ENSG00000112333	Nuclear receptor subfamily 2, group E, member 1	6	108487262-108510013	Nuclear receptors, Transcription factors	Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA036954, HPA055642	Supportive	Supportive	Nucleus	Tissue enriched	28	cerebral cortex: 6.4	adrenal gland: 0.2
HTR5A	5-HT5A	ENSG00000157219	5-hydroxytryptamine (serotonin) receptor 5A, G protein-coupled	7	154862034-154877459	G-protein coupled receptors, Predicted membrane proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level		CAB017467	Uncertain			Group enriched	27	cerebral cortex: 4.8;testis: 1.0	adrenal gland: 0.1
OLIG1	BHLHB6, bHLHe21	ENSG00000184221	Oligodendrocyte transcription factor 1	21	34442450-34444726	Transcription factors	Evidence at protein level	Evidence at transcript level	Evidence at protein level						Tissue enriched	27	cerebral cortex: 64.8	kidney: 2.4
PSD2	DKFZp761B0514	ENSG00000146005	Pleckstrin and Sec7 domain containing 2	5	139175406-139224051	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA050416, HPA054625	Uncertain			Tissue enriched	27	cerebral cortex: 30.7	salivary gland: 1.1
SLITRK1	KIAA1910, LRRC12	ENSG00000178235	SLIT and NTRK-like family, member 1	13	84451344-84456528	Disease related genes, Plasma proteins, Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA012414	Uncertain			Tissue enriched	27	cerebral cortex: 13.6	pancreas: 0.5
GABRA5		ENSG00000186297	Gamma-aminobutyric acid (GABA) A receptor, alpha 5	15	27111510-27194354	FDA approved drug targets, Predicted membrane proteins, Predicted secreted proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level					Tissue enriched	26	cerebral cortex: 46.9	esophagus: 1.8
GRIN1	GluN1, NMDAR1	ENSG00000176884	Glutamate receptor, ionotropic, N-methyl D-aspartate 1	9	140032842-140063207	Disease related genes, FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Protein evidence (Kim et al 2014), RAS pathway related proteins, Transporters	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	CAB006831	Uncertain			Tissue enriched	26	cerebral cortex: 103.2	salivary gland: 4.0
KCNF1	IK8, KCNF, kH1, Kv5.1	ENSG00000162975	Potassium voltage-gated channel, subfamily F, member 1	2	11052063-11054350	Plasma proteins, Predicted membrane proteins, Transporters, Voltage-gated ion channels	Evidence at protein level	Evidence at protein level	Evidence at protein level		CAB004678, HPA014738	Supportive	Uncertain	Golgi apparatus	Tissue enriched	26	cerebral cortex: 17.5	endometrium: 0.7
MEPE		ENSG00000152595	Matrix extracellular phosphoglycoprotein	4	88742563-88767969	Predicted secreted proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA038003, HPA038004	Uncertain			Tissue enriched	26	cerebral cortex: 4.0	placenta: 0.2
GAP43	B-50, PP46	ENSG00000172020	Growth associated protein 43	3	115342171-115440337	Plasma proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014), Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB004417, HPA013392, HPA015600	Supportive			Tissue enriched	25	cerebral cortex: 173.4	appendix: 6.9
GPM6B	M6B, MGC17150, MGC54284	ENSG00000046653	Glycoprotein M6B	X	13789150-13956757	Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA002913	Supportive			Tissue enriched	25	cerebral cortex: 433.7	prostate: 17.6
KCNJ4	HIR, hIRK2, HRK1, IRK3, Kir2.3	ENSG00000168135	Potassium inwardly-rectifying channel, subfamily J, member 4	22	38822332-38851205	Predicted membrane proteins, Protein evidence (Kim et al 2014), Voltage-gated ion channels	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA003270	Uncertain			Group enriched	25	cerebral cortex: 19.8;heart muscle: 12.5	fallopian tube: 0.6
KCNV1	Kv8.1	ENSG00000164794	Potassium channel, subfamily V, member 1	8	110975874-110988076	Predicted membrane proteins, Voltage-gated ion channels	Evidence at protein level	Evidence at transcript level	Evidence at protein level						Tissue enriched	25	cerebral cortex: 13.3	colon: 0.5
TNR		ENSG00000116147	Tenascin R	1	175284330-175712906	Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB022343, HPA027134, HPA027150, HPA029859	Supportive	Supportive	Nucleus but not nucleoli	Tissue enriched	25	cerebral cortex: 39.2	adrenal gland: 1.6
C1orf61	CROC4	ENSG00000125462	Chromosome 1 open reading frame 61	1	156374042-156400493		Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA027989	Uncertain			Tissue enriched	24	cerebral cortex: 486.3	testis: 20.7
ZIC5		ENSG00000139800	Zic family member 5	13	100615218-100624163	Protein evidence (Ezkurdia et al 2014), Transcription factors	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level					Group enriched	24	cerebral cortex: 1.3;testis: 3.4	adipose tissue: 0.0
FXYD7		ENSG00000221946	FXYD domain containing ion transport regulator 7	19	35634154-35645204	Predicted membrane proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA026916	Uncertain			Tissue enriched	23	cerebral cortex: 48.8	lymph node: 2.1
GPM6A	GPM6	ENSG00000150625	Glycoprotein M6A	4	176554085-176923815	Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA017338	Uncertain			Tissue enriched	23	cerebral cortex: 542.3	lung: 23.2
KIAA1045		ENSG00000122733	KIAA1045	9	34957484-34982541	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA020974	Uncertain			Group enriched	23	cerebral cortex: 35.3;testis: 18.8	lymph node: 1.2
CACNG3		ENSG00000006116	Calcium channel, voltage-dependent, gamma subunit 3	16	24266874-24374122	Predicted membrane proteins, Protein evidence (Kim et al 2014), Transporters	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA059010	Uncertain			Tissue enriched	22	cerebral cortex: 24.1	adrenal gland: 1.1
NKX6-2	GTX, NKX6.1, NKX6B	ENSG00000148826	NK6 homeobox 2	10	134598297-134599556	Transcription factors	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level						Group enriched	22	cerebral cortex: 12.3;stomach: 27.7	testis: 0.9
TUBB4A	beta-5, TUBB4	ENSG00000104833	Tubulin, beta 4A class IVa	19	6494330-6502859	Disease related genes, Plasma proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB010768, HPA043640, HPA046280	Supportive			Group enriched	22	adrenal gland: 83.0;cerebral cortex: 235.2;testis: 66.2	spleen: 5.9
ATP6V1G2	ATP6G, ATP6G2, Em:AC004181.3, NG38, Vma10	ENSG00000213760	ATPase, H+ transporting, lysosomal 13kDa, V1 subunit G2	6	31512239-31516204	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB004616	Supportive			Tissue enriched	21	cerebral cortex: 151.0	adrenal gland: 7.1
SYN1		ENSG00000008056	Synapsin I	X	47431303-47479252	Disease related genes, Plasma proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA000397, CAB021929	Supportive	Supportive	Nucleus but not nucleoli, Cytoplasm	Tissue enriched	21	cerebral cortex: 115.0	adrenal gland: 5.5
VWC2L		ENSG00000174453	Von Willebrand factor C domain containing protein 2-like	2	215275789-215443683	Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA044815, HPA059414	Uncertain			Tissue enriched	21	cerebral cortex: 2.1	testis: 0.1
HPCA		ENSG00000121905	Hippocalcin	1	33351595-33364042	Plasma proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB012340, HPA043245	Supportive	Uncertain		Tissue enriched	20	cerebral cortex: 123.8	testis: 6.3
HTR2C	5-HT2C, 5HTR2C, HTR1C	ENSG00000147246	5-hydroxytryptamine (serotonin) receptor 2C, G protein-coupled	X	113818551-114144624	FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level		HPA003133, CAB006857	Uncertain			Tissue enriched	20	cerebral cortex: 2.0	prostate: 0.1
KCNA1	AEMK, HUK1, Kv1.1, MBK1, RBK1	ENSG00000111262	Potassium voltage-gated channel, shaker-related subfamily, member 1 (episodic ataxia with myokymia)	12	5019071-5040527	Disease related genes, FDA approved drug targets, Predicted membrane proteins, Protein evidence (Kim et al 2014), Voltage-gated ion channels	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	CAB022365	Uncertain			Tissue enriched	20	cerebral cortex: 8.7	thyroid gland: 0.4
MLC1	KIAA0027, LVM, MLC, VL	ENSG00000100427	Megalencephalic leukoencephalopathy with subcortical cysts 1	22	50497820-50524331	Disease related genes, Potential drug targets, Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014), Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA003040, HPA067533	Supportive			Group enriched	20	bone marrow: 20.4;cerebral cortex: 85.7	testis: 2.7
SLC1A6	EAAT4	ENSG00000105143	Solute carrier family 1 (high affinity aspartate/glutamate transporter), member 6	19	15060846-15133802	Predicted membrane proteins, Protein evidence (Kim et al 2014), Transporters	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA041505, HPA044066	Supportive			Group enriched	20	cerebral cortex: 8.8;skin: 6.6;testis: 24.0	placenta: 0.7
