dataID	thres	rho	rho_stderr	E[A]	E[A]_stderr	E[W]	E[W]_stderr	alpha	alpha_stderr	tau	tau_stderr	eta	eta_stderr	gamma	gamma_stderr	lnLd	LRT[rho>0]	LRT[eta>0]	LRT[gamma>0]	em_status
PACSIN1_GENE_cis_elements_proximal	f=15%	0.001287	0.002270	0.000000	2.264203	0.000000	-nan	0.000000	1.134570	0.000000	-1.000000	0.000000	880.765528	0.000000	498.781655	-9.87157	-0.0008	-2e-05	-2e-05	main-converged-rho0-converged-eta0-converged-gam0-converged
PALM2_upregulated_GENE_cis_elements_proximal	f=15%	0.577196	0.422253	0.000000	0	0.657113	2.988101	0.000000	0	0.192881	0.809394	0.000000	0	0.175052	0.727896	-19.7924	1.3288	0	0.0446	main-converged-rho0-converged-eta0-converged-gam0-converged
PMP2_GENE_cis_elements_proximal	f=15%	0.437186	0.013544	0.000000	38.657760	0.000000	-nan	0.000000	15.117734	0.000000	-1.000000	0.000000	19.461928	0.000000	11.637225	-9.21063	0.38706	0	0	main-converged-rho0-converged-eta0-converged-gam0-converged
PRR18_upregulated_GENE_cis_elements_proximal	f=15%	0.013699	0.065094	6.421864	9.539986	7.197610	9.516904	0.678193	0.326930	0.793359	0.698040	151.729283	718.556897	276.417362	2446.458863	-25.3081	2.1582	0.8818	1.286	main-converged-rho0-converged-eta0-converged-gam0-converged
PURG_upregulated_GENE_cis_elements_proximal	f=15%	0.007604	0.082773	7.249132	8.048342	0.000000	0	0.898970	0.101567	0.000000	0	1161.307408	12630.269171	0.000000	0	-17.1958	2.774	2.7742	0	main-converged-rho0-converged-eta0-converged-gam0-converged
SHISA9_GENE_cis_elements_proximal	f=15%	0.000660	0.001446	0.000000	1.439570	0.000000	-nan	0.000000	0.335125	0.000000	-1.000000	0.000000	507.055668	0.000000	414.477524	-18.3508	-0.0006	0	0	main-converged-rho0-converged-eta0-converged-gam0-converged
SLC1A2_GENE_cis_elements_proximal	f=15%	0.390130	0.608951	0.234136	2.291128	1.507169	3.334080	0.142762	1.275784	0.279342	0.594694	0.260339	2.322028	0.605950	1.034485	-34.4027	0.365	0.0066	0.2008	main-converged-rho0-converged-eta0-converged-gam0-converged
SPOCK1_GENE_cis_elements_proximal	f=15%	0.001987	0.028840	1.144155	2.397868	0.000000	0	0.281940	0.424950	0.000000	0	197.233013	2847.841171	0.000000	0	-54.7945	0.2796	0.2804	0	main-converged-rho0-converged-eta0-converged-gam0-converged
SYT7_GENE_cis_elements_proximal	f=15%	0.000684	0.001605	0.000000	1.601852	0.000000	-nan	0.000000	1.026958	0.000000	-1.000000	0.000000	1500.486064	0.000000	880.219566	-8.03053	-0.0006	0	0	main-converged-rho0-converged-eta0-converged-gam0-converged
TNR_GENE_cis_elements_proximal	f=15%	0.009589	-1.000000	5.791031	-1.000000	3.353788	-1.000000	0.671804	0.000000	0.596614	0.000000	211.424815	-1.000000	152.762895	-1.000000	-36.7187	2.4338	1.7448	0.9304	main-converged-rho0-converged-eta0-converged-gam0-converged
YPEL4_upregulated_GENE_cis_elements_proximal	f=15%	0.218870	0.014592	0.000000	23.592211	0.000000	-nan	0.000000	22.158301	0.000000	-1.000000	0.000000	79.081065	0.000000	23.309750	-9.11921	0.05148	0	0	main-converged-rho0-converged-eta0-converged-gam0-converged

