Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence summary	HPA evidence	UniProt evidence	MS evidence	Antibody	Reliability (IH)	Reliability (IF)	Subcellular location	RNA tissue category	RNA TS	RNA TS FPKM	FPKM max in non-specific
SMTNL1	CHASM	ENSG00000214872	Smoothelin-like 1	11	57308979-57318108		Evidence at protein level	Evidence at transcript level	Evidence at protein level		HPA040264	Uncertain			Tissue enriched	30	skeletal muscle: 228.3	esophagus: 7.7
MYOZ1	CS-2, FATZ, MYOZ	ENSG00000177791	Myozenin 1	10	75391412-75401515	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA037848, HPA038437	Supportive			Tissue enriched	29	skeletal muscle: 1500.2	esophagus: 50.9
TNNI2	AMCD2B, DA2B, FSSV	ENSG00000130598	Troponin I type 2 (skeletal, fast)	11	1860219-1862910	Disease related genes, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB018697, HPA055938	Supportive			Tissue enriched	29	skeletal muscle: 2919.8	esophagus: 101.6
ASB12	FLJ39577	ENSG00000198881	Ankyrin repeat and SOCS box containing 12	X	63444076-63450511		Evidence at protein level	Evidence at transcript level	Evidence at protein level		HPA049542	Uncertain			Tissue enriched	28	skeletal muscle: 35.4	heart muscle: 1.3
TTN	CMD1G, CMH9, CMPD4, FLJ32040, LGMD2J, MYLK5, TMD	ENSG00000155657	Titin	2	179390716-179695529	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA007042, CAB022682	Supportive			Group enriched	28	heart muscle: 55.8;skeletal muscle: 268.2	prostate: 5.9
CKMT2	SMTCK	ENSG00000131730	Creatine kinase, mitochondrial 2 (sarcomeric)	5	80529104-80562216	Enzymes, FDA approved drug targets, Mitochondrial proteins, Plasma proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA051880	Supportive			Group enriched	27	heart muscle: 760.5;skeletal muscle: 517.9	adrenal gland: 23.6
MYPN	MYOP	ENSG00000138347	Myopalladin	10	69865912-69971774	Disease related genes, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA061494	Supportive			Group enriched	27	heart muscle: 48.3;skeletal muscle: 108.1	prostate: 2.9
PYGM		ENSG00000068976	Phosphorylase, glycogen, muscle	11	64513861-64527769	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA056003	Supportive			Tissue enriched	27	skeletal muscle: 2023.0	esophagus: 75.0
ART1	ART2, CD296	ENSG00000129744	ADP-ribosyltransferase 1	11	3666358-3685646	CD markers, Enzymes, Predicted membrane proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA051148	Uncertain			Tissue enriched	26	skeletal muscle: 27.0	lung: 1.1
KLHL38	C8ORFK36	ENSG00000175946	Kelch-like family member 38	8	124657767-124665190	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA024770, HPA027115	Uncertain	Uncertain	Nucleus but not nucleoli, Vesicles	Group enriched	26	heart muscle: 35.9;skeletal muscle: 85.5	smooth muscle: 2.3
MYO18B	BK125H2.1	ENSG00000133454	Myosin XVIIIB	22	26138111-26427007	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA000953	Uncertain	Supportive	Nucleus but not nucleoli, Centrosome	Group enriched	26	heart muscle: 63.0;skeletal muscle: 69.9;testis: 14.4	prostate: 1.9
PFKFB1	PFRX	ENSG00000158571	6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1	X	54959394-55024967	Enzymes, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level					Group enriched	26	adipose tissue: 18.9;liver: 12.3;skeletal muscle: 37.8	esophagus: 0.9
UCP3	SLC25A9	ENSG00000175564	Uncoupling protein 3 (mitochondrial, proton carrier)	11	73711326-73720480	Disease related genes, Mitochondrial proteins, Potential drug targets, Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level		CAB010771	Uncertain			Tissue enriched	26	skeletal muscle: 84.1	testis: 3.2
AL109927.1		ENSG00000268552	HCG2032222; PRO2047; Uncharacterized protein 	1	28177085-28177255		Evidence at transcript level	Evidence at transcript level							Group enriched	25	adipose tissue: 3.5;prostate: 1.1;skeletal muscle: 2.9	smooth muscle: 0.0
LRRC38		ENSG00000162494	Leucine rich repeat containing 38	1	13801445-13840543	Predicted membrane proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level		HPA038778	Uncertain	Uncertain	Nucleus but not nucleoli, Mitochondria	Group enriched	25	adrenal gland: 15.0;skeletal muscle: 13.0	prostate: 0.6
RYR1	CCO, MHS, MHS1, RYR	ENSG00000196218	Ryanodine receptor 1 (skeletal)	19	38924339-39078204	Disease related genes, FDA approved drug targets, Plasma proteins, Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014), Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA056416	Supportive			Tissue enriched	25	skeletal muscle: 461.1	esophagus: 18.1
ADPRHL1	ARH2	ENSG00000153531	ADP-ribosylhydrolase like 1	13	114076260-114107839	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA043951, HPA066478	Supportive	Uncertain	Nucleoli, Plasma membrane	Group enriched	23	heart muscle: 255.7;skeletal muscle: 116.7	fallopian tube: 8.1
COX6A2		ENSG00000156885	Cytochrome c oxidase subunit VIa polypeptide 2	16	31439052-31439967	Mitochondrial proteins, Protein evidence (Kim et al 2014), Transporters	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level					Group enriched	23	heart muscle: 717.1;skeletal muscle: 1540.7	esophagus: 49.3
DUPD1	DUSP27	ENSG00000188716	Dual specificity phosphatase and pro isomerase domain containing 1	10	76797594-76818272	Enzymes	Evidence at protein level	Evidence at protein level	Evidence at protein level		HPA042964	Uncertain			Tissue enriched	23	skeletal muscle: 39.6	prostate: 1.7
RPL3L		ENSG00000140986	Ribosomal protein L3-like	16	1993975-2007607	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014), Ribosomal proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA049136	Uncertain			Group enriched	23	heart muscle: 64.5;skeletal muscle: 300.0	prostate: 7.9
CLCN1	ClC-1, CLC1	ENSG00000188037	Chloride channel, voltage-sensitive 1	7	143013219-143049176	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	Evidence at transcript level	Evidence at protein level						Tissue enriched	22	skeletal muscle: 25.5	esophagus: 1.2
FAM166B		ENSG00000215187	Family with sequence similarity 166, member B	9	35561828-35563896	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA045540	Supportive			Group enriched	22	adrenal gland: 389.5;fallopian tube: 109.1;skeletal muscle: 123.8	adipose tissue: 9.5
FEM1A		ENSG00000141965	Fem-1 homolog a (C. elegans)	19	4791728-4795571	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA016565	Uncertain			Tissue enriched	22	skeletal muscle: 111.3	prostate: 5.0
LRRC14B		ENSG00000185028	Leucine rich repeat containing 14B	5	191626-195468	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	No evidence	Evidence at protein level	HPA038046, HPA038047	Uncertain			Group enriched	22	heart muscle: 8.3;skeletal muscle: 30.6	prostate: 0.9
PRKAG3		ENSG00000115592	Protein kinase, AMP-activated, gamma 3 non-catalytic subunit	2	219687106-219696809	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level					Tissue enriched	22	skeletal muscle: 38.8	prostate: 1.8
ART3		ENSG00000156219	ADP-ribosyltransferase 3	4	76932337-77033955	Enzymes, Predicted membrane proteins, Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA011268	Supportive			Group enriched	21	heart muscle: 36.0;skeletal muscle: 105.0;testis: 104.8	cerebral cortex: 3.8
DHRS7C	SDR32C2	ENSG00000184544	Dehydrogenase/reductase (SDR family) member 7C	17	9674751-9694614	Predicted secreted proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA027113, HPA029558	Uncertain			Group enriched	21	heart muscle: 63.7;skeletal muscle: 128.9	esophagus: 4.5
KLHL33		ENSG00000185271	Kelch-like family member 33	14	20896970-20903801		Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA056560	Uncertain			Tissue enriched	21	skeletal muscle: 26.4	endometrium: 1.3
MYH7	CMD1S, CMH1, MPD1	ENSG00000092054	Myosin, heavy chain 7, cardiac muscle, beta	14	23881947-23904927	Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA001239, HPA001349, CAB015384	Supportive	Supportive	Focal Adhesions, Nucleus but not nucleoli, Cytoplasm	Group enriched	21	heart muscle: 1802.4;skeletal muscle: 3267.3	prostate: 121.8
SMPX		ENSG00000091482	Small muscle protein, X-linked	X	21724090-21776281	Disease related genes, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level					Group enriched	21	heart muscle: 486.9;skeletal muscle: 397.1	esophagus: 21.0
TMOD4	Sk-Tmod	ENSG00000163157	Tropomodulin 4 (muscle)	1	151142462-151148760	Cytoskeleton related proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA028203	Supportive			Tissue enriched	21	skeletal muscle: 363.0	prostate: 17.1
AC025262.1		ENSG00000268028	Mesenchymal stem cell protein DSC96; Uncharacterized protein 	12	65090189-65090329		Evidence at transcript level	Evidence at transcript level							Tissue enriched	20	skeletal muscle: 2.0	adipose tissue: 0.0
CHRNG	ACHRG	ENSG00000196811	Cholinergic receptor, nicotinic, gamma (muscle)	2	233404437-233411113	Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	Evidence at transcript level	Evidence at protein level						Tissue enriched	20	skeletal muscle: 10.3	prostate: 0.5
FITM1	FIT1	ENSG00000139914	Fat storage-inducing transmembrane protein 1	14	24600484-24602058	Predicted membrane proteins, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA019842	Uncertain			Group enriched	20	heart muscle: 49.7;skeletal muscle: 119.3	prostate: 4.2
LMOD2		ENSG00000170807	Leiomodin 2 (cardiac)	7	123295861-123304344	Cytoskeleton related proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA051039	Supportive			Group enriched	20	heart muscle: 493.3;skeletal muscle: 322.8	esophagus: 20.9
STAC3	MGC2793	ENSG00000185482	SH3 and cysteine rich domain 3	12	57637236-57644976	Protein evidence (Ezkurdia et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA039285, HPA039527		Supportive	Nucleus but not nucleoli, Cytoplasm, Golgi apparatus	Tissue enriched	20	skeletal muscle: 850.1	prostate: 43.3
CMYA5	C5orf10, DKFZp451G223, myospryn, SPRYD2, TRIM76	ENSG00000164309	Cardiomyopathy associated 5	5	78985700-79096063	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA037387	Uncertain			Group enriched	19	heart muscle: 155.7;skeletal muscle: 692.1	ovary: 21.8
JPH1	JP-1	ENSG00000104369	Junctophilin 1	8	75146935-75233563	Predicted membrane proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA008996, HPA009413, CAB013461	Supportive	Supportive	Nucleus	Tissue enriched	19	skeletal muscle: 105.1	heart muscle: 5.6
MYOT	LGMD1, LGMD1A, TTID	ENSG00000120729	Myotilin	5	137203480-137223540	Disease related genes, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA037733, HPA037734	Supportive			Tissue enriched	19	skeletal muscle: 746.1	esophagus: 40.1
SRL		ENSG00000185739	Sarcalumenin	16	4239375-4292081	Predicted secreted proteins, Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA041535, HPA045520	Supportive			Group enriched	19	heart muscle: 192.5;skeletal muscle: 207.6	esophagus: 10.4
TRIM63	IRF, MURF-1, RNF28, SMRZ	ENSG00000158022	Tripartite motif containing 63, E3 ubiquitin protein ligase	1	26377795-26394927	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level					Group enriched	19	heart muscle: 115.8;skeletal muscle: 141.1	esophagus: 6.8
UNC45B	CMYA4, UNC45	ENSG00000141161	Unc-45 homolog B (C. elegans)	17	33474836-33516364	Protein evidence (Ezkurdia et al 2014), Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA017861	Uncertain	Supportive	Cytoplasm	Group enriched	19	heart muscle: 75.5;skeletal muscle: 75.9	prostate: 3.9
GADL1		ENSG00000144644	Glutamate decarboxylase-like 1	3	30767692-30936257	Enzymes, Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA039160, HPA040229	Uncertain	Uncertain	Nucleus but not nucleoli, Plasma membrane, Cytoplasm	Tissue enriched	18	skeletal muscle: 11.0	prostate: 0.6
LRRC39	MGC14816	ENSG00000122477	Leucine rich repeat containing 39	1	100614409-100643771	Protein evidence (Kim et al 2014)	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA028443, HPA029724	Uncertain	Uncertain	Cytoplasm, Nucleus	Group enriched	18	heart muscle: 93.1;skeletal muscle: 186.0	prostate: 7.6
MYADML2	LOC255275	ENSG00000185105	Myeloid-associated differentiation marker-like 2	17	79897521-79905109	Predicted membrane proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA041856, HPA048476	Uncertain			Tissue enriched	18	skeletal muscle: 35.4	heart muscle: 2.0
